username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Gabyucevista;2016-06-09 16:45;3;0;"via @Diasjon03: # 9Junio - 4:10p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/KJKPObQSyJ";;@Diasjon03;# # #;"741008451992702980";https://twitter.com/Gabyucevista/status/741008451992702980
SoyVnezolano;2016-06-09 16:44;45;4;"Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petare 4:10pm # 9Junpic.twitter.com/Yla7yPXeRv";;;# # #;"741007978061541377";https://twitter.com/SoyVnezolano/status/741007978061541377
710CAPiTAL;2016-06-09 16:42;8;1;"RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/IYtSAMh73t";;@diasjon03;# #;"741007635286216705";https://twitter.com/710CAPiTAL/status/741007635286216705
fer_caracas;2016-06-09 16:42;0;0;"RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/97C4e02bQI";;@diasjon03;# #;"741007617955237888";https://twitter.com/fer_caracas/status/741007617955237888
barlovinfo;2016-06-09 16:42;1;0;"RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/W7tSjPpKty";;@diasjon03;# #;"741007617548419072";https://twitter.com/barlovinfo/status/741007617548419072
LiceoMilitarAya;2016-06-09 16:42;0;0;"RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/t5Mrl1wdcS";;@diasjon03;# #;"741007617137381376";https://twitter.com/LiceoMilitarAya/status/741007617137381376
Caracas_Noreste;2016-06-09 16:42;7;0;"RT @diasjon03: 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/236OBZNtEs";;@diasjon03;# #;"741007616680169472";https://twitter.com/Caracas_Noreste/status/741007616680169472
ECastejonL;2016-06-09 16:38;0;0;"Retweeted Jonathan Dias (@Diasjon03): 9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito /... http://fb.me/5cEw2Zz6Y";;@Diasjon03;#;"741006549036859392";https://twitter.com/ECastejonL/status/741006549036859392
alexascarpita;2016-06-09 16:38;0;0;"RT NoticiasVenezue: # 9Jun 4:21pm # ElLlanito Saqueos ahora mismo. Caracas Vía aarondiazve pic.twitter.com/An097PjVui";;;# #;"741006491482771457";https://twitter.com/alexascarpita/status/741006491482771457
AnayansyMijares;2016-06-09 16:34;51;4;"# 9J 4:09pm. Caos en # ElLlanito se solto el moño los colectivos atracando y disparando a ciudadanos ¿TSJ? https://twitter.com/VVperiodistas/status/740999865719742464/video/1 …";;;# #;"741005632564822018";https://twitter.com/AnayansyMijares/status/741005632564822018
NoticiasVenezue;2016-06-09 16:34;192;16;"# 9Jun 4:21pm # ElLlanito Saqueos ahora mismo. Caracas Vía @ aarondiazvepic.twitter.com/jMnOg8z64b";;@;# #;"741005558120058882";https://twitter.com/NoticiasVenezue/status/741005558120058882
aarondiazve;2016-06-09 16:26;80;11;"[VIDEO] 4:21pm # ElLlanito 9-6-2016 Saqueos ahora mismo. Caracas (Resguardo la fuente del Vídeo). HAZ RT pic.twitter.com/iL1lyvOgU2";;;#;"741003645743976448";https://twitter.com/aarondiazve/status/741003645743976448
Jon_Dias_;2016-06-09 16:24;145;24;"9/06/2016- 4:10 p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/ewKwSruYBC";;;# #;"741003024240349184";https://twitter.com/Jon_Dias_/status/741003024240349184
YourAnonVzla;2016-06-09 16:17;372;27;"# Petare # 9Jun GNB Dispara Al Aire Para Dispersar El Intento de saqueo en la Av. Tamanaco de # ElLlanito pic.twitter.com/vdUcWhsaBu";;;# # #;"741001253220581376";https://twitter.com/YourAnonVzla/status/741001253220581376
aj3401;2016-06-09 16:16;0;0;"intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de junio 2016 # Petare y # nicolas en cadena nacionalhttps://twitter.com/AlejoRuiz22/status/740999560953270272 …";;;# # #;"741000920180359169";https://twitter.com/aj3401/status/741000920180359169
Larrymusica;2016-06-09 16:15;0;0;"Retweeted Alejandro Ruiz Gomez ( @ AlejoRuiz22): Intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de... http://fb.me/5ZoUknVng";;@;#;"741000895727435776";https://twitter.com/Larrymusica/status/741000895727435776
Con_Fe350;2016-06-09 16:15;70;3;"# 9Jun ATENCION Intento d saqueo en la Av. Tamanaco d # ElLlanito, 4:02pm # Petare pic.twitter.com/wg7biH6alE via @ AlejoRuiz22 @ jesusmedinae";;@ @;# # #;"741000682350727168";https://twitter.com/Con_Fe350/status/741000682350727168
AlejoRuiz22;2016-06-09 16:10;246;25;"Intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de junio 2016 # Petarepic.twitter.com/nhzuRYu4vR";;;# #;"740999560953270272";https://twitter.com/AlejoRuiz22/status/740999560953270272
josepim25589387;2016-06-09 15:01;0;0;"RT @ LLORAZUELA RT @ LLORAZUELA: SE REBELO CARACAS # COTIZA # PETARE # GUARENASPETARE # ELLLANITO # CATIA # VALLES DEL TUY # VALENCIA";;@ @;# # # # # # #;"740982120823296001";https://twitter.com/josepim25589387/status/740982120823296001
