username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WILLIAMCEBALLOS;2019-02-22 08:34;1;0;"# invasion # 23F # venezuela # ejido # Merida # EuropaLeague @ jguaido @ Copei_Partido @ LaPrensaVzla @ bbcmundo @ USAenEspanol @ UEmadridpic.twitter.com/HO22GJfgZv";;@ @ @ @ @ @;# # # # # #;"1098938976344436736";https://twitter.com/WILLIAMCEBALLOS/status/1098938976344436736
16elmuzo;2019-02-22 08:14;0;0;"# Venezuela # 23F @wistonvallenilla pero según me dijeron que no es un concierto es un karaoke xq ningún artista quiso ir a cantar pa esa verga, y van a permitir que el que quiera ir y subir a cantar lo haga!!!!! https://twitter.com/vwinstonv/status/1098898381458599937 …";;@wistonvallenilla;# #;"1098933936162525184";https://twitter.com/16elmuzo/status/1098933936162525184
irmaar;2019-02-22 08:00;2;9;"Gracias a @ danielhadad @ edufeiok y equipo @ LongobardiM # JorgeLanata @ segregustavo @ dsantoro59 @ CarlosAMontaner por suscribir la declaración # LatinoamericanosPorVenezuela que apoya el ingreso de # AyudaHumantaria a # Venezuela el # 23F @ NPSGlobal Aquí texto pic.twitter.com/uWlS34UinH";;@ @ @ @ @ @ @;# # # # #;"1098930507935633408";https://twitter.com/irmaar/status/1098930507935633408
efren_colombani;2019-02-22 07:59;0;3;"São Paulo, capital, confirmado! Manifestación Mundial por la Ayuda Humanitária a # Venezuela Manifestação Mundial pela Ajuda Humanitária a Venezuela Sábado - 23/02 - 18h - MASP # 23F # VenezuelaAidLive # VamosBien # VenezuelaLibre @ VzlanosnoBrasil @ ayudaylibertadpic.twitter.com/IOCKebPncy";;@ @;# # # # #;"1098930200920973312";https://twitter.com/efren_colombani/status/1098930200920973312
PirelaLilieta;2019-02-22 07:57;0;0;"# buenosdías # Venezuela # 23F # VamosBien";;;# # # #;"1098929715069550592";https://twitter.com/PirelaLilieta/status/1098929715069550592
yuyifred;2019-02-22 07:53;0;0;"# 23F # AvalanchaHumanitaria # Venezuela # HueleALibertad # AyudaHumanitariaParaVenezuelapic.twitter.com/DArccHpwWz";;;# # # # #;"1098928789659287552";https://twitter.com/yuyifred/status/1098928789659287552
mfox_us;2019-02-22 07:31;0;3;"Vice President @ GeneraIMourao says that Brazil would only enter into conflict with Venezuela if it were attacked, but that it could "help with the humanitarian aid". That fact that we are even having this conversation is really disturbing. # Venezuela # 23F https://g1.globo.com/politica/noticia/2019/02/22/mourao-diz-que-so-ve-confronto-com-venezuela-se-brasil-for-atacado-mas-maduro-nao-e-louco-a-esse-ponto.ghtml …";;@;# #;"1098923355418345477";https://twitter.com/mfox_us/status/1098923355418345477
juanagallardo1;2019-02-22 07:17;15;11;"# BuenViernes en @ izquierdadiario # Internacional Tensión en # Venezuela a un día del # 23F # CocaCola despide y suspende en Argentina y México # Sanders vota mayor "seguridad" # Brasil entre la crisis y la reforma previsional # TrotskyVersusNetflix http://www.laizquierdadiario.com/internacional pic.twitter.com/T9bvHzl80j";;@;# # # # # # # #;"1098919759033364481";https://twitter.com/juanagallardo1/status/1098919759033364481
Marhietta_;2019-02-22 07:08;0;0;"# AvalanchaHumanitaria # 23f # vamosbien # yofirmoporlapazdevenezuela # venezuela Dedicado a los "autoproclamados": https://youtu.be/2lo5CyQjB7Q";;;# # # # #;"1098917401939402755";https://twitter.com/Marhietta_/status/1098917401939402755
ve_villarroel;2019-02-22 07:08;0;0;"Este sábado # 23F Instamos a la # GNB a ponerse del lado correcto de la Historia. Llegó la hora de ELEGIR entre Defender al Usurpador de Nicolás Maduro o Servir a # Venezuela Les queda 1 día porque la # AyudaHumanitaria entra # SioSi @ Pr1meroJusticia # VoluntariosXVenezuela # VamosBienpic.twitter.com/hD0nHAxNzx – bei Villa Juana";;@;# # # # # # #;"1098917355269382144";https://twitter.com/ve_villarroel/status/1098917355269382144
Norkys_batista;2019-02-22 07:06;12;55;"ESCUCHEN ESCUCHEN...! “TENGAMOS EL VALOR Y EL HONOR” # VamosBien # Venezuela NO VOY A PODER ESTAR EN # CUCUTA PERO ME QUEDO AQUIIIIII EN # CARACAS PARA EL # 23F FORMAR PARTE DE LA… https://www.instagram.com/p/BuLujQqHY27/?utm_source=ig_twitter_share&igshid=12nbzluzlw9cz …";;;# # # # #;"1098916994663903236";https://twitter.com/Norkys_batista/status/1098916994663903236
Edu_Enduro;2019-02-22 07:02;1;2;"No se ilusionen tanto con # Guaido tampoco... recuerden que también es socialista... es cambiar caca podrida por caca fresca en # Venezuela # LiveAidVenezuela # 23F pic.twitter.com/NAE6lWD9qu";;;# # # #;"1098915878333239296";https://twitter.com/Edu_Enduro/status/1098915878333239296
