,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,retweet,clean_text,language,sentiment
11,mhary_tica,2016-06-09 18:01,0,0,@ Almagro_OEA2015 [VIDEO] 4:21pm # ElLlanito 9-6-2016 Saqueos ahora mismo. Ccss (Resguardo la fuente del Vídeo).HAZ RT pic.twitter.com/BVeeq6Xi4v,,@,#,7.410274010948116e+17,https://twitter.com/mhary_tica/status/741027401094811648,@ Almagro_OEA2015 [VIDEO] 4:21pm # ElLlanito 9-6-2016 Saqueos ahora mismo. Ccss (Resguardo la fuente del Vídeo).HAZ RT pic.twitter.com/BVeeq6Xi4v,  VIDEO  4 21pm  9 6 2016 Saqueos ahora mismo  Ccss  Resguardo la fuente del Vídeo  HAZ RT ,es,0.7252439856529236
12,luisdalier,2016-06-09 17:49,3,1,"Intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm: # Petare pic.twitter.com/EYVOc9mocX http://bit.ly/1UEJGO6",,,# #,7.410244395135181e+17,https://twitter.com/luisdalier/status/741024439513518080,"Intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm: # Petare pic.twitter.com/EYVOc9mocX http://bit.ly/1UEJGO6",Intento de saqueo en la Av  Tamanaco de  4 02 pm   ,es,0.4084259271621704
13,AnonimusCR,2016-06-09 17:46,8,1,# 09Jun # ElLlanito Luego de saquear una farmacia van hacia un Supermercado. pic.twitter.com/10M7ZAUp1K,,,# #,7.410235817909494e+17,https://twitter.com/AnonimusCR/status/741023581790949376,# 09Jun # ElLlanito Luego de saquear una farmacia van hacia un Supermercado. pic.twitter.com/10M7ZAUp1K,  Luego de saquear una farmacia van hacia un Supermercado  ,es,0.5387601256370544
14,Niurkamendez,2016-06-09 17:37,1,0,"# petare # ElLlanito # sociedadcivilenlacalle En 2014 le decían a los muchachos ociosos drogadictos Chukys, pues q tal!pic.twitter.com/IeNG2LxIXV",,,# # #,7.41021443329282e+17,https://twitter.com/Niurkamendez/status/741021443329282049,"# petare # ElLlanito # sociedadcivilenlacalle En 2014 le decían a los muchachos ociosos drogadictos Chukys, pues q tal!pic.twitter.com/IeNG2LxIXV",   En 2014 le decían a los muchachos ociosos drogadictos Chukys  pues q tal ,es,0.6069416999816895
15,MiBellaVzLibre,2016-06-09 17:18,12,0,"via @Diasjon03: # 9Junio - 4:10p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petare pic.twitter.com/JWPnP2IbL0"";;@Diasjon03;# # #;741016762259476480""",https://twitter.com/MiBellaVzLibre/status/741016762259476480,,,,,"via @Diasjon03: # 9Junio - 4:10p.m. Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petare pic.twitter.com/JWPnP2IbL0"";;@Diasjon03;# # #;741016762259476480""",via      4 10p m  Intento de saqueo en av  Tamanaco de    Camión proveniente de  ,es,0.4216997027397156
16,14tonybarza,2016-06-09 17:13,0,0,este fin de semana promete mucho # ElLlanito # Petare # AbajoGobDeMaduroYA # VenezuelaCalleEsLibertad,,,# # # #,7.410155106037146e+17,https://twitter.com/14tonybarza/status/741015510603714560,este fin de semana promete mucho # ElLlanito # Petare # AbajoGobDeMaduroYA # VenezuelaCalleEsLibertad,este fin de semana promete mucho    ,es,0.5168423652648926
17,VYenohi,2016-06-09 17:06,0,0,"# elllanito, caracas el pueblo cae en desesperación ya todo se está saliendo de control https://twitter.com/NoticiasVenezue/status/741005069596958726 …",,,#,7.410135617119519e+17,https://twitter.com/VYenohi/status/741013561711951872,"# elllanito, caracas el pueblo cae en desesperación ya todo se está saliendo de control https://twitter.com/NoticiasVenezue/status/741005069596958726 …", caracas el pueblo cae en desesperación ya todo se está saliendo de control ,es,0.28179872035980225
18,BrandoVzla,2016-06-09 16:58,1,0,@ TachiraFuerte estallido x vernir Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/KF5Xbf6DPv,,@,# #,7.410115369745981e+17,https://twitter.com/BrandoVzla/status/741011536974598144,@ TachiraFuerte estallido x vernir Intento de saqueo en av. Tamanaco de # ElLlanito / Camión proveniente de # Petarepic.twitter.com/KF5Xbf6DPv, estallido x vernir Intento de saqueo en av  Tamanaco de    Camión proveniente de ,es,0.3552793860435486
19,ladeira4x4,2016-06-09 16:57,5,0,"Intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de junio 2016 # Petarepic.twitter.com/aVhJLlAaSp",,,# #,7.410113986716221e+17,https://twitter.com/ladeira4x4/status/741011398671622144,"Intento de saqueo en la Av. Tamanaco de # ElLlanito, 4:02 pm 9 de junio 2016 # Petarepic.twitter.com/aVhJLlAaSp",Intento de saqueo en la Av  Tamanaco de  4 02 pm 9 de junio 2016 ,es,0.4241766333580017
20,TrendsCaracas,2016-06-09 16:52,0,0,# elllanito es ahora una tendencia en # Caracas http://trendsmap.com/ve/caracas,,,# #,7.410100464363807e+17,https://twitter.com/TrendsCaracas/status/741010046436380674,# elllanito es ahora una tendencia en # Caracas http://trendsmap.com/ve/caracas, es ahora una tendencia en  ,es,0.5520266890525818
