username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
resistenciahdp;2017-05-24 15:58;6;2;"Aquí seguimos # resistencia en Montalban . Se acabó el miedo # Venezuela # 24Mayo pic.twitter.com/50eztrLhzm";;;# # #;"867469900306157569";https://twitter.com/resistenciahdp/status/867469900306157569
MariaClaudia_F;2017-05-24 15:58;9;1;"# AHORA (3:58pm) GNB continúa lanzando bombas lacrimógenas a manifestantes en Las Mercedes [vía reporte Unión Radio] # 24Mayo";;;# #;"867469878885830656";https://twitter.com/MariaClaudia_F/status/867469878885830656
KixSunshine;2017-05-24 15:58;0;0;"# 24mayo así se ven los gases lacrimogenos. La dictadura violando ddhh pic.twitter.com/mBmfniM2mo";;;#;"867469866747539457";https://twitter.com/KixSunshine/status/867469866747539457
venezuelaunete_;2017-05-24 15:58;0;1;"Terapia intensiva del Hospital de niños JM de los ríos sin luz. # Venezuelaunete # 24Mayo https://www.instagram.com/p/BUfNdcthPWd/";;;# #;"867469812984758278";https://twitter.com/venezuelaunete_/status/867469812984758278
justiciasocial;2017-05-24 15:58;15;6;"# 24Mayo En lugar de represión lo que queremos para nuestros jóvenes es un gran futuro en una mejor Venezuela. pic.twitter.com/OFzkqduWr0";;;#;"867469775064240129";https://twitter.com/justiciasocial/status/867469775064240129
consecomercio;2017-05-24 15:57;6;1;"# 24Mayo Asocauchos está de Aniversario. ¡Son 39 años trabajando por # Venezuela!pic.twitter.com/Q8bUQ1ZaZp";;;# #;"867469709859594240";https://twitter.com/consecomercio/status/867469709859594240
Javierito321;2017-05-24 15:57;1508;282;"Otro video del hospital JM de los ríos, vean y escuchen ustedes mismos. Venezuela necesita salir de este sistema corrupto # 24Mayo pic.twitter.com/OGN1ZNfzWE";;;#;"867469698358706177";https://twitter.com/Javierito321/status/867469698358706177
orlandodl68;2017-05-24 15:57;0;0;"¡IMÁGEN QUE DA LA VUELTA AL MUNDO! Un pequeño niño reprimido por los gases tóxicos de Maduro # 24Mayo -► https://goo.gl/tDCs8J";;;#;"867469693262725122";https://twitter.com/orlandodl68/status/867469693262725122
DACCARLOSB;2017-05-24 15:57;2;0;"La Constituyente no es una elección de partidos, Es para el Pueblo Combativo y Valiente. # SomosPuebloDePaz # 24Mayo pic.twitter.com/psTdutZj7F";;;# #;"867469599033487361";https://twitter.com/DACCARLOSB/status/867469599033487361
MMalaverM;2017-05-24 15:57;20;0;"Fiscal admite que GNB disparó bomba que mató a Juan Pernalete # 24Mayo http://ow.ly/kMlY30c148o";;;#;"867469594222620672";https://twitter.com/MMalaverM/status/867469594222620672
notasvzla1;2017-05-24 15:57;2;1;"# AEstaHora (3:50 pm) | Manifestantes se concentran en la Av. Principal de Las Mercedes tras ser dispersados en la Francisco Fajardo # 24mayo pic.twitter.com/uvRNCRh9zr";;;# #;"867469586442092545";https://twitter.com/notasvzla1/status/867469586442092545
orlandodl68;2017-05-24 15:57;0;0;"Ortega Díaz: Juan Pernalete fue asesinado por una bomba lacrimógena de GNB # 24Mayo -► https://goo.gl/zCCYlM";;;#;"867469559191699456";https://twitter.com/orlandodl68/status/867469559191699456
Raizapl;2017-05-24 15:57;0;0;"¡IMÁGEN QUE DA LA VUELTA AL MUNDO! Un pequeño niño reprimido por los gases tóxicos de Maduro # 24Mayo -► https://goo.gl/tDCs8J";;;#;"867469557761495040";https://twitter.com/Raizapl/status/867469557761495040
amiramucic;2017-05-24 15:57;2;0;"# 24Mayo La Fiscal General @ lortegadiaz reconoció actuación de grupos civiles armados contra la ciudadanía y por ello, inisitió en el desarme";;@;#;"867469553403654145";https://twitter.com/amiramucic/status/867469553403654145
Bolsacaracas;2017-05-24 15:57;2;1;"Índice Bursátil Caracas en 72.689,66 puntos # 24Mayo | http://cort.as/tyJV pic.twitter.com/GgshPnZkL0";;;#;"867469540380344320";https://twitter.com/Bolsacaracas/status/867469540380344320
Guayooyo;2017-05-24 15:56;1;0;"# 24Mayo # caracas # venezuela ...pic.twitter.com/71F3atfkjh";;;# # #;"867469480762519552";https://twitter.com/Guayooyo/status/867469480762519552
todocurso;2017-05-24 15:56;0;0;"# todocursoNOTICIAS # Venezuela "En defensa del voto": los venezolanos de oposición marchan a las sedes del Poder Electoral # 24may # 24mayo";;;# # # #;"867469466946469888";https://twitter.com/todocurso/status/867469466946469888
EsTendencias;2017-05-24 15:56;0;0;"# AlAire @ YamiletPinto: Hay que aceptar los cambios para seguir adelante # 24Mayo # Tendencias";;@;# # #;"867469459803471873";https://twitter.com/EsTendencias/status/867469459803471873
ECOSDELTORBES;2017-05-24 15:56;11;1;"# 24Mayo Identificados autores intelectuales de quema de vehículo de CANTV en la parte alta… http://ecosdeltorbes.net/2017/05/24/identificados-autores-intelectuales-de-quema-de-vehiculo-de-cantv-en-la-parte-alta-de-sc/ …pic.twitter.com/gMetpexXQB";;;#;"867469453478567936";https://twitter.com/ECOSDELTORBES/status/867469453478567936
yneschavista;2017-05-24 15:56;0;0;"Fiscal que mala actuación se hubiese estudiado bien el libreto que le dieron sinvergüenza # 24Mayo Pernalete";;;#;"867469425804488704";https://twitter.com/yneschavista/status/867469425804488704
arlenepadron;2017-05-24 15:56;0;0;"¡IMÁGEN QUE DA LA VUELTA AL MUNDO! Un pequeño niño reprimido por los gases tóxicos de Maduro # 24Mayo -► https://goo.gl/tDCs8J";;;#;"867469389267861504";https://twitter.com/arlenepadron/status/867469389267861504
EGMorenoR;2017-05-24 15:56;0;0;"# SomosGenteDePaz # 24Mayo # TROPAhttps://twitter.com/apontecoronel/status/867441023773011974 …";;;# # #;"867469386575118336";https://twitter.com/EGMorenoR/status/867469386575118336
justiciasocial;2017-05-24 15:56;13;3;"# 24Mayo Hoy fui afectada por la brutal represión del régimen @ NicolasMaduro. Basta de represión.pic.twitter.com/dALqIcVPgb";;@;#;"867469383920214018";https://twitter.com/justiciasocial/status/867469383920214018
ManuPPC_Roses;2017-05-24 15:56;36;1;"3:44pm, diputado Jose Brito herido por impacto de bomba lacrimógena # CCs # 24mayo # torrealbaala1 @ copipegapic.twitter.com/ysSGwOuiW4";;@;# # #;"867469380053086208";https://twitter.com/ManuPPC_Roses/status/867469380053086208
