,0,1
343,1087785674164633600,http://pbs.twimg.com/ext_tw_video_thumb/1087560846904049664/pu/img/um1f8M88rJ43xiyl.jpg
344,1087792147246600192,
345,1087789037878984704,http://pbs.twimg.com/media/DxdEx6_X0AERohO.jpg
346,1087798938600656896,
347,1087801069630115840,
348,1087794230322495488,
349,1087791379776966656,http://pbs.twimg.com/media/DxcSUYJXQAEhSmO.jpg
350,1087798543828639744,
351,1087791402434682880,
352,1087800585489920000,
353,1087793937308413952,
354,1087795905280032768,http://pbs.twimg.com/media/DxiglARXgAUZCkr.jpg
355,1087779746572840960,
356,1087779113761267712,http://pbs.twimg.com/media/DxdCYlhX4AgU-NA.jpg
357,1087784424014532608,
358,1087792389190807552,http://pbs.twimg.com/media/DxiWIbOWkAAbewR.jpg
359,1087788525083394048,
360,1087785006855008256,
361,1087788553403273216,
362,1087795603290112000,http://pbs.twimg.com/media/DxigVg-X0AEridc.jpg
363,1087799750903123968,
364,1087797712555266048,
365,1087782259820843008,
366,1087792403262726144,
367,1087789363478568960,
368,1087776711507410944,
369,1087775639678136320,
370,1087767057767239680,http://pbs.twimg.com/media/DxiGX8_WwAEWieb.jpg
371,1087768544127811584,
372,1087762936783876096,
373,1087769887190237184,
374,1087769013344714752,
375,1087775217806647296,http://pbs.twimg.com/media/DxiNxhbXcAIaR_g.jpg
376,1087777286890442752,
377,1087761952561119232,
378,1087760614972366848,
379,1087766859154374656,
380,1087772617958928384,
381,1087770607389937664,
382,1087777804022886400,http://pbs.twimg.com/media/DxdCYlhX4AgU-NA.jpg
383,1087772837199384576,http://pbs.twimg.com/media/DxiLkmAWsAIn89M.jpg
384,1087773937436639232,
385,1087760019528011776,
386,1087775263981690880,
387,1087767543362830336,
388,1087775905320235008,http://pbs.twimg.com/media/Dxdbx0-XcAYLeLy.jpg
389,1087772751266541568,
390,1087773882935853056,
391,1087763089259487232,
392,1087761480097976320,
393,1087772302060736512,
394,1087764943087243264,
395,1087766011212836864,
396,1087771451632111616,http://pbs.twimg.com/media/DxiJ83XXcAIUZBX.jpg
397,1087770633440845824,http://pbs.twimg.com/media/DxiH4imWoAAleSG.jpg
398,1087769948741619712,
399,1087767092739391488,
400,1087766031848951808,
401,1087773891588751360,
402,1087761879261503488,
403,1087764366580039680,http://pbs.twimg.com/media/DxiD7SwXgAAE7g5.jpg
404,1087767623918600192,
405,1087765013148794880,http://pbs.twimg.com/media/DxiEguhU8AEbR_R.jpg
406,1087772953532682240,
407,1087770666298994688,
408,1087762918555508736,http://pbs.twimg.com/media/DxdCYlhX4AgU-NA.jpg
409,1087775434115371008,
410,1087769724992323584,http://pbs.twimg.com/media/DxiIv85WoAAGOsa.jpg
411,1087772664163434496,http://pbs.twimg.com/media/DxiLXb3WwAMTZmb.jpg
412,1087773737049575424,
413,1087762576015060992,http://pbs.twimg.com/media/DxiCTFfWwAAGTPg.jpg
414,1087759996144795648,
415,1087768234353410048,
416,1087772991344250880,
417,1087777995987869696,
